model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,rating,year,brand_Google,brand_Infinix,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Vivo,brand_Xiaomi,os_iOS,processor_Dimensity 9300,processor_Exynos 2400,processor_Helio G99,processor_Snapdragon 6 Gen 1,processor_Snapdragon 7+ Gen 2,processor_Snapdragon 8 Gen 3,processor_Tensor G4,release_month_August,release_month_December,release_month_February,release_month_January,release_month_July,release_month_June,release_month_March,release_month_May,release_month_November,release_month_October,release_month_September
Galaxy Z Fold6,1093,8,1024,200,4000,5.6,100,1,4.1,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
iPhone 14,1077,8,128,48,6000,7.1,120,0,4.4,2025,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
V30,223,8,512,200,5500,6.3,18,1,4.9,2025,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Narzo 70,1192,12,256,12,4000,6.2,33,0,4.7,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Poco F6,1126,8,64,48,4000,7.2,33,1,4.7,2025,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Poco X6 Pro,277,6,256,108,4500,7.1,18,0,4.0,2025,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hot 40,1467,6,128,48,6000,6.3,18,0,3.8,2025,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Galaxy Z Fold6,1339,6,512,200,4500,6.2,120,1,4.7,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Nord CE 4 Lite,642,8,256,200,5500,7.1,33,0,4.2,2025,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OnePlus 12,127,16,256,200,5500,5.7,44,1,5.0,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Galaxy Z Fold6,1247,6,1024,12,5000,5.6,65,0,3.8,2025,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pixel 9 Pro,1392,8,128,108,4500,7.1,44,1,3.8,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
iPhone 14,868,4,512,12,4500,7.2,44,0,4.6,2025,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
GT Neo 6,1404,16,1024,50,4000,6.6,100,1,4.7,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pixel 7a,1074,16,64,12,5500,6.0,100,0,4.0,2025,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Galaxy S24,238,16,1024,108,5000,6.1,33,0,5.0,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Note 40 Pro,882,4,128,200,4000,6.6,44,1,4.1,2025,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hot 40,136,4,64,48,5000,5.6,65,1,4.6,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
GT 7 Pro,627,8,512,50,6000,6.3,44,1,4.6,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
X100 Pro,412,4,512,200,4500,6.3,44,0,3.9,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Galaxy M55,1288,6,256,108,6000,6.8,18,1,3.9,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Y100A,1387,6,1024,108,4000,6.5,65,0,4.9,2025,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Poco F6,657,4,512,50,4000,7.2,33,0,4.7,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
iPhone 14,1058,4,256,50,4500,6.6,33,0,4.4,2025,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
GT 20 Pro,192,4,64,12,5500,5.7,33,0,3.7,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Reno 11,1451,6,128,200,5500,6.9,120,1,4.2,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Zero 30,1032,4,512,200,5000,5.9,100,0,4.8,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Pixel 8,290,12,128,12,5500,6.1,65,0,3.7,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Galaxy Z Fold6,1403,12,256,64,4500,5.8,100,0,4.4,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
iPhone 16 Pro Max,528,4,512,50,5500,7.2,120,0,4.6,2025,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Galaxy Z Fold6,1084,6,128,50,6000,6.6,65,0,5.0,2025,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pixel 9,1190,4,256,12,6000,6.1,18,1,4.3,2025,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Galaxy A75,176,4,128,48,4500,5.8,18,0,4.9,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
C65,361,6,256,108,4000,6.1,33,0,4.5,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Galaxy A75,1252,8,64,50,4000,6.9,18,1,4.2,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Pixel 9 Pro,1480,16,256,64,6000,6.5,44,0,3.7,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
OnePlus 13,1060,12,1024,12,4500,6.4,65,0,4.8,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
OnePlus 13,1497,12,256,64,4000,5.7,18,1,3.6,2025,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pixel Fold 2,187,4,1024,200,4000,6.6,100,1,4.8,2025,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Smart 8,1286,16,64,48,5000,6.0,18,0,3.6,2025,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
X100 Pro,467,16,1024,48,4500,5.7,33,0,3.8,2025,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
OnePlus 13R,817,16,128,50,4000,5.5,44,1,4.5,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Redmi Note 14 Pro,1408,12,512,64,6000,6.9,18,0,3.8,2025,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Mi 13 Ultra,1332,16,1024,108,5500,5.9,33,1,4.1,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
C65,417,6,512,50,6000,6.9,120,1,3.6,2025,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Galaxy M55,568,4,64,12,5500,6.7,120,0,4.6,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Pixel 9,1020,6,128,48,4000,6.0,18,0,4.4,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Mi 14,1194,4,512,50,4500,6.9,120,1,4.6,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Pixel 9,1119,12,1024,108,5000,6.1,18,0,3.8,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
GT 7 Pro,101,12,1024,50,5000,5.6,18,0,4.0,2025,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Redmi Note 14 Pro,241,16,512,48,5500,6.5,100,0,4.4,2025,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Galaxy S24,979,8,512,200,5500,6.6,65,0,4.1,2025,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
OnePlus 13,848,12,1024,200,5500,5.8,44,1,4.0,2025,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pixel 9 Pro,892,4,1024,64,4000,5.8,33,0,4.2,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Find X7,584,16,256,48,5000,6.6,120,0,4.3,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Reno 11,681,16,1024,200,5500,6.7,44,1,3.6,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
11 Pro+,112,6,256,200,4000,5.5,120,0,3.5,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
GT Neo 6,212,4,512,108,6000,7.1,44,0,4.3,2025,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Galaxy Z Fold6,876,16,64,48,4000,6.4,18,0,4.1,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
11 Pro+,1229,8,1024,64,5500,6.4,44,1,4.2,2025,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Mi 14,1276,8,256,108,5500,6.4,120,0,4.1,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
GT 7 Pro,1047,12,1024,48,4000,7.1,100,0,4.2,2025,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Pixel 9 Pro,1320,4,64,200,4500,6.4,44,1,3.9,2025,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
C65,804,12,1024,50,5000,6.4,33,0,4.4,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Smart 8,738,6,512,108,5000,6.8,100,0,4.5,2025,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Poco F6,651,8,1024,64,4500,5.7,44,1,3.6,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
OnePlus 13,1053,16,512,12,5500,6.9,33,0,4.1,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Reno 11,102,8,128,48,5500,7.0,33,0,4.4,2025,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11 Pro+,814,16,256,200,5000,6.2,65,1,3.7,2025,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Redmi Note 14 Pro,525,12,64,108,5500,6.6,65,0,3.7,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
iPhone 16 Pro,1182,6,512,200,4500,6.3,120,0,4.6,2025,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Y200,1257,12,1024,200,4500,5.8,120,0,4.3,2025,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Galaxy S24 Ultra,1400,8,64,64,6000,6.0,44,0,3.7,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Smart 8,637,8,512,200,5000,5.6,65,0,4.9,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Find X7,1346,16,128,50,5000,7.2,65,1,4.8,2025,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pixel 9 Pro,1480,16,512,108,6000,6.3,33,0,4.7,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A98,1190,4,128,12,5500,6.1,100,0,4.6,2025,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Reno 11,1025,16,512,200,6000,6.5,18,1,4.3,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Y200,300,12,512,200,5000,7.2,120,1,4.1,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Poco X6 Pro,629,12,256,64,6000,7.1,44,1,3.7,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Poco X6 Pro,1442,4,128,108,4500,6.5,18,0,4.7,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Nord 4,119,12,64,48,4000,5.8,65,1,4.4,2025,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Galaxy A75,230,6,512,50,4500,6.2,33,0,5.0,2025,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Poco F6,238,12,1024,50,4500,7.1,18,0,4.3,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Pixel 8,1230,6,128,200,4000,5.6,44,0,4.4,2025,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Reno 11,188,16,1024,200,5000,6.7,100,1,4.7,2025,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
iPhone 16 Pro Max,168,4,256,48,4000,6.1,65,1,4.8,2025,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Zero 30,666,8,64,48,4500,6.8,44,1,4.5,2025,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Reno 12,258,4,256,108,5500,7.2,18,1,4.5,2025,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
GT 7 Pro,213,4,256,200,5500,6.2,120,1,4.2,2025,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
OnePlus 12,1278,12,128,200,5000,6.5,18,0,3.9,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
iPhone 16,356,6,256,12,6000,6.8,18,0,4.6,2025,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
V29e,913,16,1024,48,5500,7.1,33,0,4.1,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Pixel Fold 2,994,16,1024,48,6000,6.6,65,0,4.3,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Zero 30,378,12,512,12,5000,6.9,120,1,3.7,2025,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Poco X6 Pro,758,16,64,12,5500,5.9,18,0,3.9,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Reno 12,166,6,64,64,6000,6.6,100,0,4.0,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
V29e,161,16,64,64,5000,7.2,44,1,3.8,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
GT Neo 6,208,16,128,200,6000,7.1,18,0,4.3,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Reno 12,695,8,256,50,5000,6.4,100,0,4.8,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Mi 13 Ultra,1343,8,1024,64,5000,5.5,18,0,4.3,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
V29e,544,12,1024,200,4000,6.8,44,1,4.1,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Smart 8,1470,16,64,108,4000,6.1,33,1,4.7,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Narzo 70,714,16,128,50,4000,5.5,100,0,4.4,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Y100A,1282,4,128,64,5000,6.6,120,1,4.4,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Smart 8,1164,6,128,200,4000,6.2,18,1,4.8,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Galaxy Z Fold6,385,6,64,48,6000,6.0,18,0,4.9,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Note 40 Pro,1257,6,1024,108,5000,5.9,18,1,3.5,2025,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pixel 9 Pro,1321,16,256,64,4000,7.0,44,1,4.1,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Mi 14,776,8,1024,48,5500,6.5,44,1,4.0,2025,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Smart 8,1394,4,1024,12,4500,6.9,18,0,4.5,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Pixel 8,952,6,256,50,4000,7.1,65,0,4.4,2025,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Galaxy S24 Ultra,514,12,128,64,6000,7.0,100,1,3.5,2025,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Galaxy M55,1052,6,512,200,5500,7.1,33,1,4.6,2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
GT 20 Pro,1258,8,64,108,4500,6.4,65,1,3.6,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Reno 12,316,8,512,64,4000,6.6,33,0,4.5,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Poco F6,350,6,512,12,4000,6.1,44,0,4.6,2025,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Y100A,313,8,64,64,6000,6.1,33,1,4.6,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Poco F6,1349,12,512,12,4500,6.2,18,0,4.8,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Nord CE 4 Lite,547,12,256,200,4000,6.6,65,1,4.4,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Y100A,314,12,1024,108,5000,7.1,44,1,4.0,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Reno 12,386,8,128,12,4500,6.2,65,0,4.5,2025,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Pixel Fold 2,476,12,1024,48,5500,6.9,100,0,4.6,2025,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Pixel 9,406,6,256,64,4500,6.7,18,0,4.2,2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Pixel 8,1209,16,64,48,5000,6.0,33,0,3.6,2025,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
A98,1141,12,64,12,5000,5.6,100,1,3.8,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
F27 Pro,444,16,64,48,4500,7.0,120,1,3.8,2025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
OnePlus 13R,1298,4,64,48,4500,5.7,44,0,3.5,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Hot 40,1132,6,128,48,4500,6.9,65,0,3.9,2025,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Y100A,1403,4,1024,200,4000,7.1,65,0,4.8,2025,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
V29e,473,16,128,108,5000,6.0,44,1,4.3,2025,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Galaxy S24,991,16,128,48,5500,5.8,65,0,3.7,2025,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pixel 9 Pro,951,8,128,48,5500,6.0,65,1,4.4,2025,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Smart 8,910,8,1024,200,4000,5.6,18,1,4.6,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
GT Neo 6,752,4,1024,12,5000,6.6,120,0,4.5,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Y100A,1220,16,64,64,4500,6.0,65,0,4.1,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C65,827,16,512,50,5500,6.2,100,0,4.0,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Narzo 70,287,8,512,48,5500,6.4,100,1,4.1,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Mi 14,476,16,512,200,4000,7.0,120,1,4.5,2025,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Narzo 70,236,12,1024,50,6000,6.8,33,1,4.5,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Nord CE 4 Lite,262,8,1024,108,5000,6.9,18,1,4.3,2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
